Time - Temperature,Temperature - Temperature
1264,42.0975
1265,42.0775
1266,42.0786
1267,42.0597
1268,42.0335
1269,42.0212
1270,41.999
1271,41.9812
1272,41.9674
1273,41.9442
1274,41.9318
1275,41.9016
1276,41.886
1277,41.8784
1278,41.8584
1279,41.8533
1280,41.8264
1281,41.8152
1282,41.8097
1283,41.7846
1284,41.7665
1285,41.7541
1286,41.7345
1287,41.7171
1288,41.6865
1289,41.676
1290,41.6473
1291,41.6364
1292,41.6138
1293,41.5953
1294,41.58
1295,41.5604
1296,41.5608
1297,41.5401
1298,41.5255
1299,41.5066
1300,41.5004
1301,41.4648
1302,41.4546
1303,41.4459
1304,41.4386
1305,41.4208
1306,41.3918
1307,41.3838
1308,41.3721
1309,41.3547
1310,41.3401
1311,41.3201
1312,41.3118
1313,41.3009
1314,41.2878
1315,41.2598
1316,41.2573
1317,41.2496
1318,41.2253
1319,41.2078
1320,41.1896
1321,41.1885
1322,41.1689
1323,41.1547
1324,41.134
1325,41.1355
1326,41.1082
1327,41.0984
1328,41.0806
1329,41.0613
1330,41.0402
1331,41.0282
1332,41.0038
1333,41.0035
1334,40.9798
1335,40.9686
1336,40.9609
1337,40.9416
1338,40.9304
1339,40.9151
1340,40.8944
1341,40.8835
1342,40.8667
1343,40.854
1344,40.8387
1345,40.8329
1346,40.8111
1347,40.802
1348,40.7904
1349,40.778
1350,40.7558
1351,40.7554
1352,40.7285
1353,40.7165
1354,40.7053
1355,40.6863
1356,40.6689
1357,40.6525
1358,40.6387
1359,40.6118
1360,40.6118
1361,40.5914
1362,40.5816
1363,40.5678
1364,40.559
1365,40.5372
1366,40.5241
1367,40.5125
1368,40.4976
1369,40.4677
1370,40.4757
1371,40.4583
1372,40.4357
1373,40.4353
1374,40.4142
1375,40.4142
1376,40.3891
1377,40.3844
1378,40.3706
1379,40.3586
1380,40.3437
1381,40.3411
1382,40.3291
1383,40.3127
1384,40.2898
1385,40.2785
1386,40.2658
1387,40.2552
1388,40.2469
1389,40.2349
1390,40.2079
1391,40.2058
1392,40.1785
1393,40.1603
1394,40.1457
1395,40.1352
1396,40.1253
1397,40.1126
1398,40.0959
1399,40.0842
1400,40.0682
1401,40.0482
1402,40.0354
1403,40.0187
1404,40.0009
1405,39.9943
1406,39.975
1407,39.9699
1408,39.963
1409,39.9503
1410,39.9528
1411,39.927
1412,39.9157
1413,39.8997
1414,39.8884
1415,39.8775
1416,39.8702
1417,39.8484
1418,39.828
1419,39.8229
1420,39.8011
1421,39.7745
1422,39.769
1423,39.7523
1424,39.7414
1425,39.7268
1426,39.7191
1427,39.6962
1428,39.6809
1429,39.6653
1430,39.6474
1431,39.6394
1432,39.627
1433,39.6074
1434,39.6001
1435,39.5906
1436,39.5692
1437,39.5513
1438,39.5419
1439,39.5222
1440,39.516
1441,39.4898
1442,39.4876
1443,39.4749
1444,39.4632
1445,39.4599
1446,39.4501
1447,39.4264
1448,39.4228
1449,39.4108
1450,39.3962
1451,39.3842
1452,39.3725
1453,39.3612
1454,39.3569
1455,39.3419
1456,39.3186
1457,39.3132
1458,39.2953
1459,39.2888
1460,39.2873
1461,39.2629
1462,39.2604
1463,39.2305
1464,39.2331
1465,39.2065
1466,39.1985
1467,39.1813
1468,39.1777
1469,39.166
1470,39.1526
1471,39.1478
1472,39.134
1473,39.1147
1474,39.1001
1475,39.0907
1476,39.0764
1477,39.067
1478,39.0459
1479,39.028
1480,39.0134
1481,39.0116
1482,38.9894
1483,38.9872
1484,38.9657
1485,38.957
1486,38.9351
1487,38.9278
1488,38.9231
1489,38.906
1490,38.8936
1491,38.8874
1492,38.8757
1493,38.863
1494,38.855
1495,38.8426
1496,38.8389
1497,38.8127
1498,38.8069
1499,38.7908
1500,38.7741
1501,38.7566
1502,38.7526
1503,38.7413
1504,38.726
1505,38.7165
1506,38.7078
1507,38.6848
1508,38.6622
1509,38.6593
1510,38.6458
1511,38.6287
1512,38.6141
1513,38.597
1514,38.5879
1515,38.5722
1516,38.5697
1517,38.5635
1518,38.5595
1519,38.5445
1520,38.534
1521,38.5245
1522,38.4993
1523,38.487
1524,38.4778
1525,38.4724
1526,38.4698
1527,38.4523
1528,38.4414
1529,38.4221
1530,38.3896
